t,x,y,vx,vy,ax,ay,z,vz,az
0.0667,0.00147,-0.000121,-0.0112,-0.0383,-0.682,-0.33,0.031,-0.00657,-0.13
0.1,0.000858,-0.00182,-0.043,-0.0427,-0.987,0.214,0.0308,-0.00831,-0.369
0.133,-0.0014,-0.00297,-0.0811,-0.0216,-1.64,0.622,0.0304,-0.0298,-0.986
0.167,-0.00455,-0.00327,-0.146,-8.31e-05,-1.46,0.516,0.0289,-0.0748,-2.23
0.2,-0.0111,-0.00297,-0.192,0.0129,-0.336,0.261,0.0255,-0.173,-2.95
0.233,-0.0174,-0.00241,-0.163,0.0172,1.02,-0.07,0.0173,-0.282,-2.03
0.267,-0.022,-0.00183,-0.12,0.00889,1.39,-0.15,0.00664,-0.311,-0.0804
0.3,-0.0254,-0.00182,-0.0725,0.00422,1.58,-0.188,-0.00341,-0.282,1.99
0.333,-0.0268,-0.00155,-0.0131,-0.000123,1.8,-0.0765,-0.0122,-0.185,2.66
0.367,-0.0262,-0.00182,0.0472,-0.00435,1.92,-0.252,-0.0158,-0.0879,2.31
0.4,-0.0236,-0.00184,0.114,-0.0129,2.49,-0.0377,-0.018,-0.0409,1.42
0.433,-0.0186,-0.00268,0.211,-0.0128,2.32,0.404,-0.0185,0.00907,1.37
0.467,-0.00956,-0.00269,0.28,0.017,0.877,0.586,-0.0174,0.0504,1.13
0.5,7.18e-05,-0.00155,0.267,0.03,-1.05,0.182,-0.0151,0.0844,1.15
0.534,0.00823,-0.000686,0.208,0.0255,-1.97,-0.438,-0.0118,0.125,1.35
0.567,0.0139,0.000156,0.133,0.00432,-2.22,-0.408,-0.00677,0.176,0.742
0.6,0.0171,-0.000398,0.0594,-0.00871,-2.13,-0.292,-6.42e-05,0.181,-0.228
0.634,0.0179,-0.000425,-0.00914,-0.00876,-2.11,-0.206,0.0053,0.153,-0.829
0.667,0.0165,-0.000982,-0.0801,-0.0247,-2.06,-0.218,0.0101,0.129,-1.36
0.7,0.0125,-0.00207,-0.149,-0.0255,-1.38,0.0675,0.0139,0.0654,-1.58
0.734,0.00658,-0.00268,-0.176,-0.0172,-0.719,0.352,0.0145,0.0127,-1.5
0.767,0.000822,-0.00322,-0.189,-0.00443,-0.513,0.334,0.0147,-0.0251,-1.51
0.8,-0.00602,-0.00298,-0.214,0.00814,-0.195,0.288,0.0128,-0.0915,-2.63
0.834,-0.0134,-0.00268,-0.205,0.0129,0.894,-0.101,0.00863,-0.196,-1.96
0.867,-0.0197,-0.00212,-0.153,0.00413,2.05,-0.0392,-0.000242,-0.241,0.0555
0.9,-0.0236,-0.0024,-0.068,0.0043,2.62,0.114,-0.00743,-0.18,2.16
0.934,-0.0242,-0.00184,0.0254,0.0171,2.78,0.0742,-0.0122,-0.0967,2.48
0.967,-0.0219,-0.00126,0.116,0.00869,2.76,-0.223,-0.0139,-0.0116,2.56
1.0,-0.0165,-0.00126,0.21,-0.000139,2.17,-0.148,-0.013,0.0715,1.83
1.03,-0.00794,-0.00127,0.266,-8.1e-05,0.804,0.148,-0.00911,0.118,0.87
1.07,0.0012,-0.00126,0.261,0.0087,-0.64,-0.141,-0.00516,0.123,0.105
1.1,0.00947,-0.000691,0.222,-0.00406,-1.69,-0.179,-0.000936,0.126,-0.162
1.13,0.016,-0.00153,0.149,-0.0123,-2.67,-0.0467,0.00323,0.113,-1.11
1.17,0.0194,-0.00151,0.0431,-0.000336,-3.73,-0.00916,0.00658,0.0548,-1.04
1.2,0.0189,-0.00155,-0.0983,-0.0133,-3.8,-0.254,0.00688,0.0293,-0.718
1.23,0.0129,-0.0024,-0.219,-0.0212,-2.46,-0.0269,0.00853,0.023,-1.13
1.27,0.00425,-0.00297,-0.261,-0.0128,-1.05,0.328,0.00842,-0.0496,-2.55
1.3,-0.00455,-0.00325,-0.282,2.69e-05,0.599,0.437,0.00523,-0.149,-1.72
1.33,-0.0145,-0.00297,-0.235,0.017,2.22,0.221,-0.00151,-0.176,0.822
1.37,-0.0202,-0.00212,-0.12,0.0171,2.94,-0.0684,-0.00653,-0.088,2.75
1.4,-0.0226,-0.00183,-0.0386,0.00889,2.07,-0.223,-0.00738,0.0153,2.72
1.43,-0.0228,-0.00153,0.0155,0.0041,1.57,0.0991,-0.00551,0.0908,1.17
1.47,-0.0215,-0.00155,0.0647,0.0123,1.46,-0.035,-0.00132,0.101,-0.00129
1.5,-0.0185,-0.000711,0.114,0.00855,1.55,-0.43,0.00123,0.0785,-0.618
1.53,-0.0139,-0.000983,0.167,-0.0211,1.53,-0.615,0.00391,0.066,-0.199
1.57,-0.00737,-0.00212,0.218,-0.0338,0.896,0.213,0.00564,0.0597,-0.562
1.6,0.0006,-0.00324,0.23,-0.00853,0.167,0.668,0.0079,0.0372,-0.92
1.63,0.00793,-0.00269,0.223,0.0176,-0.854,0.502,0.00812,-0.00922,-1.09
1.67,0.0155,-0.00206,0.181,0.0214,-2.16,-0.119,0.00728,-0.0346,-1.38
1.7,0.02,-0.00127,0.0748,0.012,-3.65,-0.412,0.00581,-0.0943,-1.67
1.73,0.0205,-0.00127,-0.0624,-0.00867,-4.03,-0.469,0.000996,-0.157,-0.587
1.77,0.0159,-0.00184,-0.198,-0.0197,-2.81,-0.0485,-0.00466,-0.135,1.69
1.8,0.00726,-0.00258,-0.257,-0.0127,-1.19,0.303,-0.00799,-0.0409,2.78
1.83,-0.00124,-0.00269,-0.267,0.00267,0.203,0.314,-0.00738,0.0568,2.4
1.87,-0.0105,-0.0024,-0.251,0.0086,1.62,0.394,-0.00421,0.119,0.969
1.9,-0.0179,-0.00212,-0.158,0.0256,3.01,0.073,0.00053,0.125,-0.693
1.93,-0.0211,-0.000695,-0.0428,0.0214,3.3,-0.769,0.00413,0.0697,-1.6
1.97,-0.0208,-0.000692,0.0599,-0.0298,3.06,-0.756,0.00518,0.0127,-1.84
2.0,-0.0171,-0.00268,0.161,-0.0377,2.23,0.178,0.00498,-0.0469,-1.75
2.03,-0.01,-0.0032,0.215,-0.00842,0.347,0.647,0.00205,-0.11,-1.21
2.07,-0.00276,-0.00325,0.183,0.00367,-0.998,0.686,-0.00236,-0.128,0.0749
2.1,0.00218,-0.00296,0.139,0.0341,-1.28,0.446,-0.00652,-0.104,1.26
2.13,0.00652,-0.000974,0.104,0.0424,-1.78,-0.438,-0.00928,-0.0448,2.41
2.17,0.00913,-0.00013,0.0223,-2.76e-05,-2.69,-0.655,-0.0095,0.0561,3.09
2.2,0.00801,-0.000976,-0.0808,-0.00842,-2.84,-0.0772,-0.00554,0.167,2.3
2.23,0.00374,-0.000692,-0.167,0.00394,-1.44,-0.11,0.0016,0.214,0.581
2.27,-0.00314,-0.000713,-0.184,-0.0171,0.629,-0.43,0.00874,0.2,-0.824
2.3,-0.00855,-0.00183,-0.12,-0.0294,2.14,-0.109,0.015,0.159,-1.73
2.33,-0.0111,-0.00267,-0.0382,-0.0214,2.16,0.32,0.0194,0.0856,-2.75
2.37,-0.0111,-0.00326,0.0259,-0.0088,1.59,0.437,0.0207,-0.0242,-2.93
2.4,-0.00938,-0.00326,0.0676,0.00851,0.807,0.225,0.0177,-0.117,-1.98
2.43,-0.00658,-0.00269,0.081,0.00861,0.134,-0.0726,0.0129,-0.154,-1.24
2.47,-0.00398,-0.00269,0.074,5.15e-05,-0.26,-0.22,0.00745,-0.194,-1.17
2.5,-0.00165,-0.00269,0.0637,-0.00427,-0.445,-0.104,-4e-05,-0.238,0.0859
2.53,0.00027,-0.00297,0.045,-0.00812,-0.627,0.012,-0.00843,-0.195,1.97
2.57,0.00135,-0.00323,0.0208,-0.00339,-0.645,0.682,-0.0131,-0.0951,2.67
2.6,0.00166,-0.0032,0.00158,0.0338,-0.71,0.347,-0.0148,-0.0178,2.28
2.63,0.00146,-0.000975,-0.0244,0.0333,-0.612,-0.0754,-0.0143,0.0544,2.22
2.67,2.77e-05,-0.000978,-0.0433,0.0127,-0.304,-0.532,-0.0111,0.131,2.14
2.7,-0.00143,-0.000126,-0.0425,0.00866,0.291,-0.291,-0.00552,0.198,1.44
2.73,-0.0028,-0.000401,-0.0257,-0.0127,0.885,-0.55,0.00207,0.229,0.667
2.77,-0.00314,-0.000973,0.0169,-0.0257,1.39,-0.292,0.00977,0.238,-0.499
2.8,-0.00168,-0.00211,0.069,-0.034,1.03,0.147,0.0179,0.204,-2.24
2.83,0.00146,-0.00324,0.0892,-0.017,0.613,0.581,0.0233,0.0869,-3.81
2.87,0.00427,-0.00324,0.102,0.00832,0.444,0.508,0.0237,-0.0565,-3.9
2.9,0.00828,-0.00268,0.124,0.0169,-0.0276,0.0102,0.0196,-0.174,-2.26
2.93,0.0125,-0.00212,0.103,0.00896,-1.32,-0.217,0.0121,-0.214,-0.709
2.97,0.0151,-0.00209,0.0346,0.000208,-2.44,-0.227,0.00534,-0.21,0.29
3.0,0.0148,-0.0021,-0.0611,-0.00467,-2.41,0.0276,-0.00192,-0.2,1.19
3.03,0.011,-0.0024,-0.132,-0.000257,-1.57,0.372,-0.00802,-0.132,2.56
3.07,0.00603,-0.00212,-0.162,0.0213,-0.58,0.187,-0.0107,-0.0254,3.3
3.1,0.000273,-0.000976,-0.172,0.0172,0.791,-0.145,-0.00971,0.0881,3.17
3.13,-0.00541,-0.000978,-0.115,0.00428,2.18,-0.257,-0.00485,0.188,1.49
3.17,-0.0074,-0.000691,-0.0168,0.00432,2.65,-0.11,0.00285,0.197,-0.574
3.2,-0.00654,-0.00069,0.0606,-0.0043,2.19,-0.258,0.00826,0.138,-0.991
3.23,-0.00335,-0.000978,0.128,-0.0129,1.24,-0.32,0.012,0.127,-0.428
3.27,0.00201,-0.00155,0.149,-0.0251,-0.0492,-0.00156,0.0167,0.119,-0.916
3.3,0.00659,-0.00265,0.119,-0.017,-0.785,0.293,0.02,0.06,-2.09
3.33,0.00997,-0.00268,0.0944,6.17e-05,-0.962,0.429,0.0208,-0.0235,-2.44
3.37,0.0129,-0.00265,0.0598,0.00851,-1.4,0.0707,0.0184,-0.109,-1.81
3.4,0.014,-0.00211,-0.0012,0.00796,-1.76,-0.208,0.0135,-0.151,-1.16
3.43,0.0128,-0.00212,-0.0598,-0.00769,-1.26,-0.217,0.00833,-0.179,-0.987
3.47,0.00997,-0.00263,-0.0872,-0.00848,-0.144,0.204,0.0016,-0.22,0.115
3.5,0.00699,-0.00268,-0.0693,0.00758,-0.0395,0.394,-0.00631,-0.181,2.15
3.53,0.00535,-0.00212,-0.0794,0.0192,-0.432,0.218,-0.0105,-0.0661,3.47
3.57,0.0017,-0.0014,-0.11,0.0214,-0.467,-0.0721,-0.0107,0.0504,3.48
3.6,-0.00196,-0.00069,-0.107,0.015,0.6,-0.312,-0.00712,0.166,2.45
3.63,-0.00541,-0.000408,-0.0732,-1.31e-05,1.64,-0.332,0.000329,0.222,0.675
3.67,-0.00683,-0.000691,0.00404,-0.00863,2.69,-0.0729,0.00769,0.204,-0.622
3.7,-0.00514,-0.000983,0.107,-0.00432,2.24,-0.326,0.014,0.178,-1.54
3.73,0.000286,-0.000979,0.163,-0.0254,0.962,-0.138,0.0195,0.11,-2.6
3.77,0.00571,-0.00268,0.163,-0.0252,-0.302,0.363,0.0213,-0.00308,-3.06
3.8,0.0111,-0.00266,0.145,0.00866,-1.4,0.513,0.0193,-0.0962,-1.97
3.83,0.0154,-0.0021,0.0726,0.00878,-2.54,-0.0869,0.0148,-0.137,-0.502
3.87,0.016,-0.00207,-0.0303,-0.000339,-2.72,-0.299,0.0102,-0.127,-0.137
3.9,0.0134,-0.00212,-0.11,-0.00928,-1.41,-0.0736,0.00639,-0.139,-0.71
3.93,0.00864,-0.00269,-0.128,-0.00848,0.072,0.527,0.000935,-0.181,0.00986
3.97,0.00482,-0.00269,-0.0991,0.0257,0.327,0.365,-0.00566,-0.147,2.0
4.0,0.00203,-0.000977,-0.102,0.0256,0.307,-0.0737,-0.00884,-0.0383,3.42
4.03,-0.00195,-0.000979,-0.0902,0.00853,0.889,-0.299,-0.00822,0.0815,3.14
4.07,-0.00398,-0.000409,-0.035,0.0125,1.61,-0.179,-0.00341,0.177,1.66
4.1,-0.00429,-0.000146,0.0165,-0.00421,1.49,-0.615,0.00355,0.194,0.28
4.13,-0.00288,-0.000689,0.0649,-0.0294,1.21,-0.329,0.00954,0.186,-0.405
4.17,3.53e-05,-0.00211,0.0986,-0.0299,0.464,0.245,0.0159,0.174,-1.39
4.2,0.00369,-0.00269,0.0975,-0.00884,0.26,0.446,0.0211,0.0953,-2.96
4.23,0.00653,-0.0027,0.108,0.000301,0.211,0.299,0.0223,-0.0294,-3.53
4.27,0.0109,-0.00267,0.121,0.00892,-0.519,0.0776,0.0191,-0.143,-2.23
4.3,0.0146,-0.0021,0.0729,0.00883,-2.1,-0.0887,0.0127,-0.184,-0.748
4.33,0.0157,-0.00208,-0.0212,-0.000302,-2.72,-0.283,0.00686,-0.183,-0.07
4.37,0.0132,-0.00212,-0.113,-0.00819,-1.88,0.284,0.000559,-0.192,0.744
4.4,0.00816,-0.00262,-0.15,0.0129,-0.818,0.25,-0.00591,-0.141,2.44
4.43,0.00321,-0.00126,-0.161,0.0204,0.298,0.0282,-0.00881,-0.0223,3.52
4.47,-0.00254,-0.00127,-0.138,0.0043,1.57,-0.238,-0.0074,0.0973,2.87
4.5,-0.006,-0.000978,-0.0519,0.00864,2.6,-0.000416,-0.00232,0.173,0.824
4.53,-0.006,-0.00069,0.0392,0.00428,2.33,-0.123,0.00411,0.156,-0.69
4.57,-0.00338,-0.000692,0.104,-0.000705,1.09,-0.0743,0.00805,0.114,-0.471
4.6,0.000915,-0.000737,0.115,-0.000365,-0.506,-0.499,0.0117,0.126,0.0351
4.63,0.00429,-0.000717,0.0673,-0.0293,-1.09,-0.246,0.0164,0.124,-0.973
4.67,0.0054,-0.00269,0.0345,-0.0297,-0.0615,0.255,0.02,0.0598,-2.57
4.7,0.00659,-0.0027,0.0643,0.000303,0.635,0.655,0.0204,-0.0485,-2.91
4.73,0.00969,-0.00267,0.0859,0.00873,-0.0931,0.0695,0.0167,-0.141,-1.88
4.77,0.0123,-0.00211,0.0554,0.00834,-1.37,-0.151,0.011,-0.173,-0.856
4.8,0.0134,-0.00211,-0.00565,-0.00428,-1.84,-0.179,0.00519,-0.192,-0.174
4.83,0.0119,-0.0024,-0.0708,-0.00423,-1.49,0.463,-0.00178,-0.192,1.16
4.87,0.00866,-0.0024,-0.106,0.0249,-1.16,0.152,-0.00759,-0.115,2.93
4.9,0.00485,-0.000742,-0.142,0.017,-0.505,-0.207,-0.00946,0.00863,3.73
4.93,-0.000825,-0.00126,-0.15,-0.00349,0.802,-0.248,-0.00702,0.135,2.71
4.97,-0.00514,-0.000975,-0.0853,0.0086,2.28,0.133,-0.000492,0.197,0.318
5.0,-0.00651,-0.000689,0.00513,0.00426,2.61,-0.185,0.00613,0.154,-1.25
5.03,-0.00479,-0.000691,0.0903,-0.00436,1.92,-0.0417,0.00976,0.102,-0.738
5.07,-0.000492,-0.000979,0.136,-0.000318,0.214,-0.434,0.0129,0.107,-0.191
5.1,0.00429,-0.000712,0.106,-0.0255,-0.853,-0.216,0.0169,0.097,-1.06
5.13,0.0066,-0.00268,0.0679,-0.0297,-0.571,0.256,0.0194,0.0342,-2.23
5.17,0.00882,-0.00269,0.0724,0.00407,-0.169,0.619,0.0192,-0.0531,-2.22
5.2,0.0114,-0.00241,0.061,0.00862,-0.81,-0.066,0.0158,-0.119,-1.29
5.23,0.0129,-0.00212,0.0166,0.00028,-1.5,-0.212,0.0113,-0.138,-0.824
5.27,0.0125,-0.00239,-0.0403,-0.00797,-1.29,-0.0618,0.00666,-0.167,-0.781
5.3,0.0102,-0.00265,-0.0738,-0.00322,-0.585,0.594,0.000137,-0.198,0.509
5.33,0.00761,-0.0026,-0.0763,0.0289,-0.623,0.236,-0.00652,-0.138,2.64
5.37,0.00511,-0.000719,-0.109,0.0244,-0.805,-0.287,-0.00908,-0.0131,3.78
5.4,0.000318,-0.000979,-0.14,-0.00388,0.22,-0.307,-0.0074,0.114,2.97
5.43,-0.00425,-0.000977,-0.0949,0.00842,1.82,0.0668,-0.00148,0.192,0.823
5.47,-0.00601,-0.000418,-0.0133,0.0042,2.54,-0.182,0.00541,0.169,-0.819
5.5,-0.00513,-0.000697,0.0728,-0.00851,2.11,-0.0751,0.00981,0.126,-0.766
5.53,-0.00116,-0.000985,0.133,-0.000241,0.757,-0.359,0.0138,0.121,-0.657
5.57,0.00374,-0.000714,0.124,-0.0252,-0.614,-0.216,0.0179,0.0885,-1.65
5.6,0.0071,-0.00267,0.0858,-0.0296,-0.731,0.187,0.0197,0.00755,-2.43
5.63,0.00946,-0.00268,0.0737,0.000223,-0.618,0.647,0.0184,-0.076,-1.78
5.67,0.012,-0.00265,0.0512,0.00852,-1.12,0.0676,0.0146,-0.115,-0.637
5.7,0.0129,-0.00212,-0.00427,0.00796,-1.57,-0.213,0.0107,-0.114,-0.501
5.73,0.0117,-0.00212,-0.0555,-0.00797,-0.948,-0.194,0.00703,-0.143,-1.01
5.77,0.00917,-0.00265,-0.0702,-0.00724,-0.0852,0.495,0.0012,-0.189,0.0417
5.8,0.00705,-0.0026,-0.0572,0.0251,-0.29,0.338,-0.00554,-0.148,2.3
5.83,0.00536,-0.000972,-0.0839,0.0244,-0.918,-0.151,-0.00863,-0.027,3.75
5.87,0.00146,-0.00098,-0.127,0.00403,-0.372,-0.381,-0.00735,0.104,3.11
5.9,-0.00312,-0.000703,-0.111,0.00431,1.31,-0.0356,-0.00171,0.187,0.999
5.93,-0.00592,-0.000693,-0.0372,-5.15e-05,2.5,-0.145,0.00511,0.171,-0.735
5.97,-0.00561,-0.000706,0.0583,-0.00434,2.33,-0.327,0.00969,0.127,-0.816
6.0,-0.00203,-0.000982,0.123,-0.0211,1.08,-0.245,0.0136,0.118,-0.701
6.03,0.00259,-0.00211,0.129,-0.0251,-0.417,0.139,0.0176,0.087,-1.59
6.07,0.00657,-0.00265,0.0938,-0.00858,-0.817,0.36,0.0194,0.0093,-2.31
6.1,0.00884,-0.00269,0.0686,-0.000253,-0.719,0.286,0.0182,-0.0705,-1.66
6.13,0.0111,-0.00267,0.0521,0.00844,-0.877,0.0763,0.0147,-0.105,-0.454
6.17,0.0123,-0.00212,0.00894,0.00817,-1.34,-0.21,0.0112,-0.0969,-0.251
6.2,0.0117,-0.00212,-0.039,-0.00793,-1.02,-0.201,0.00823,-0.116,-1.11
6.23,0.00971,-0.00265,-0.0614,-0.00747,-0.193,0.202,0.00349,-0.175,-0.681
6.27,0.00764,-0.00262,-0.0506,0.008,0.0182,0.561,-0.00342,-0.172,1.52
6.3,0.00634,-0.00212,-0.0546,0.0288,-0.846,-0.0345,-0.00795,-0.0681,3.52
6.33,0.004,-0.000702,-0.108,0.0128,-1.02,-0.24,-0.00797,0.0678,3.53
6.37,-0.000842,-0.00126,-0.133,-3.56e-06,0.425,-0.221,-0.00344,0.172,1.56
6.4,-0.00486,-0.000702,-0.0768,0.00836,2.15,-0.0709,0.00347,0.177,-0.567
6.43,-0.00596,-0.000705,0.0143,-0.00837,2.66,-0.289,0.00835,0.123,-1.06
6.47,-0.00391,-0.00126,0.102,-0.0126,1.73,0.109,0.0117,0.104,-0.445
6.5,0.000841,-0.00155,0.136,-1.99e-05,-0.0673,-0.145,0.0153,0.0991,-0.801
6.53,0.00514,-0.00126,0.0947,-0.0168,-1.14,-0.149,0.0183,0.0529,-1.78
6.57,0.00715,-0.00267,0.0519,-0.0214,-0.605,0.107,0.0188,-0.0241,-2.03
6.6,0.00859,-0.00269,0.055,-0.000149,-0.107,0.435,0.0167,-0.0851,-1.06
6.63,0.0108,-0.00268,0.0515,0.00423,-0.578,0.0398,0.0131,-0.0972,-0.23
6.67,0.012,-0.0024,0.0137,0.00413,-1.22,-0.0993,0.0102,-0.0935,-0.542
6.7,0.0117,-0.0024,-0.0311,-0.00357,-1.0,-0.0955,0.00688,-0.132,-1.2
6.73,0.00996,-0.00264,-0.0557,-0.00328,-0.458,0.515,0.00141,-0.18,-0.0368
6.77,0.00802,-0.00262,-0.059,0.0284,-0.365,0.308,-0.00509,-0.142,2.24
6.8,0.00602,-0.000748,-0.0774,0.0286,-0.969,-0.53,-0.00805,-0.0223,3.71
6.83,0.00285,-0.000716,-0.124,-0.0163,-0.541,-0.41,-0.00658,0.108,2.91
6.87,-0.00226,-0.00183,-0.124,-0.00398,1.13,0.247,-0.000862,0.179,0.605
6.9,-0.00538,-0.000981,-0.0432,0.0129,2.55,0.244,0.00538,0.147,-1.21
6.93,-0.00514,-0.000971,0.0503,0.00394,2.22,-0.401,0.00894,0.0885,-0.937
6.97,-0.00203,-0.000719,0.108,-0.00865,0.777,0.0705,0.0113,0.0832,0.0626
7.0,0.00204,-0.00155,0.103,-6.48e-05,-0.81,-0.357,0.0145,0.0987,-0.283
7.03,0.00483,-0.000723,0.0509,-0.0171,-1.17,-0.148,0.0179,0.0679,-1.59
7.07,0.00544,-0.00268,0.0181,-0.0296,-0.0674,0.041,0.019,-0.0104,-2.25
7.1,0.00603,-0.00269,0.0469,-2.79e-05,0.837,0.652,0.0172,-0.0857,-1.51
7.13,0.00856,-0.00269,0.0814,0.00857,0.316,0.0749,0.0133,-0.114,-0.49
7.17,0.0115,-0.00212,0.0681,0.0085,-1.11,-0.0758,0.0096,-0.113,-0.401
7.2,0.0131,-0.00212,0.00697,-4.71e-05,-1.92,-0.144,0.00577,-0.135,-0.643
7.23,0.0119,-0.00213,-0.0648,1.1e-06,-1.6,-0.0705,0.000369,-0.159,0.427
7.27,0.00877,-0.00212,-0.101,-0.00406,-0.789,0.252,-0.00512,-0.114,2.37
7.3,0.0052,-0.0024,-0.114,0.0126,-0.422,0.18,-0.0072,0.00396,3.49
7.33,0.00117,-0.00128,-0.129,0.0169,-0.18,-0.0697,-0.00485,0.123,2.2
7.37,-0.00339,-0.00127,-0.129,0.00022,0.598,-0.288,0.00101,0.159,-0.353
7.4,-0.0074,-0.00127,-0.0899,2.23e-05,1.5,-0.00337,0.00572,0.094,-1.85
7.43,-0.00938,-0.00127,-0.0256,-5.6e-06,1.98,-0.00445,0.00728,0.0272,-1.22
7.47,-0.00911,-0.00127,0.0424,-0.000222,1.47,-0.507,0.00754,0.0131,-0.143
7.5,-0.00655,-0.00128,0.0773,-0.0297,0.143,-0.252,0.00815,0.0215,0.0538
7.53,-0.00396,-0.00325,0.0511,-0.0296,-1.54,0.258,0.00897,0.0178,-0.421
7.57,-0.00315,-0.00325,-0.026,1.16e-05,-2.21,0.51,0.00934,-0.0065,-0.894
7.6,-0.00569,-0.00325,-0.103,0.000293,-1.31,0.00363,0.00854,-0.0431,-1.29
7.63,-0.00999,-0.00323,-0.115,0.000272,1.0,0.0636,0.00647,-0.0912,-1.51
7.67,-0.0134,-0.00323,-0.0374,0.00394,2.68,0.105,0.00246,-0.146,-0.848
7.7,-0.0125,-0.00297,0.0729,0.00828,2.46,-0.00311,-0.00325,-0.153,1.17
7.73,-0.00852,-0.00268,0.129,0.00404,0.868,-0.177,-0.00777,-0.0687,3.03
7.77,-0.0039,-0.0027,0.128,-0.00444,-0.239,-0.107,-0.00784,0.0564,3.22
7.8,3.98e-05,-0.00297,0.11,-0.00407,-0.0871,0.121,-0.00401,0.148,1.1
7.83,0.00342,-0.00297,0.119,0.00467,0.533,0.248,0.00204,0.137,-1.36
7.87,0.00799,-0.00266,0.15,0.0127,-0.161,0.103,0.00514,0.0465,-2.43
7.9,0.0134,-0.00213,0.116,0.0123,-2.21,-0.183,0.00514,-0.0276,-1.79
7.93,0.0157,-0.00184,-0.00223,0.000157,-3.42,-0.349,0.0033,-0.0716,-0.947
7.97,0.0133,-0.00212,-0.119,-0.0122,-2.2,-0.117,0.000367,-0.091,0.128
8.0,0.00777,-0.00266,-0.153,-0.00867,-0.336,0.00625,-0.00277,-0.0658,1.48
8.03,0.00304,-0.00269,-0.133,-0.00811,-0.128,0.0737,-0.00402,0.00936,2.02
8.07,-0.00112,-0.0032,-0.156,-0.00787,-0.904,0.209,-0.00215,0.0754,0.917
8.1,-0.00739,-0.00322,-0.202,0.00769,0.235,0.127,0.00101,0.0725,-0.749
8.13,-0.0146,-0.00268,-0.15,0.00371,2.97,-0.101,0.00269,0.0206,-1.43
8.17,-0.0174,-0.00297,0.00459,-0.00437,4.52,-0.171,0.00238,-0.0255,-1.16
8.2,-0.0143,-0.00298,0.158,-0.00416,2.76,0.0425,0.000987,-0.0553,-0.782
8.23,-0.00684,-0.00325,0.198,-0.0039,-0.0193,0.105,-0.0013,-0.0778,0.106
8.27,-0.00106,-0.00324,0.144,0.00413,-1.09,0.177,-0.0042,-0.0537,1.11
8.3,0.00279,-0.00297,0.12,0.00832,-0.141,0.0724,-0.00488,0.00342,1.54
8.33,0.00693,-0.00268,0.138,0.00857,-0.0595,0.00769,-0.00397,0.048,0.884
8.37,0.012,-0.0024,0.123,0.00867,-1.64,-0.0778,-0.00168,0.0653,0.0182
8.4,0.0152,-0.0021,0.0281,0.00418,-3.08,-0.254,0.000384,0.0474,-0.664
8.43,0.0139,-0.00212,-0.0894,-0.00853,-2.35,-0.15,0.00147,0.0193,-1.09
8.47,0.0092,-0.00267,-0.134,-0.00855,-0.281,0.0739,0.00167,-0.0227,-1.32
8.5,0.00492,-0.00269,-0.103,-0.000267,0.906,0.143,-4.03e-05,-0.0721,-0.616
8.53,0.00236,-0.00269,-0.0688,-3.86e-05,0.574,0.00831,-0.00314,-0.0691,1.03
8.57,0.000336,-0.00269,-0.0651,0.000145,-0.0364,0.00537,-0.00465,-0.000274,2.09
8.6,-0.00198,-0.00268,-0.0732,0.000439,-0.0348,0.00473,-0.00316,0.0752,1.41
8.63,-0.00454,-0.00267,-0.0689,0.000403,0.451,-0.0075,0.000368,0.0974,0.068
8.67,-0.00658,-0.00265,-0.043,1.18e-06,0.865,-0.0139,0.00334,0.075,-0.683
8.7,-0.00741,-0.00267,-0.00943,-0.000607,0.586,-0.136,0.00537,0.0505,-0.594
8.73,-0.00721,-0.00269,-0.00108,-0.00805,-0.358,-0.0637,0.00671,0.0352,-0.472
8.77,-0.00748,-0.0032,-0.0339,-0.00794,-0.765,0.0728,0.00771,0.0205,-0.647
8.8,-0.00947,-0.00322,-0.0585,-0.000128,0.0123,0.128,0.00807,-0.00743,-1.15
8.83,-0.0114,-0.00321,-0.0326,-0.000214,1.3,0.142,0.00722,-0.0557,-1.89
8.87,-0.0116,-0.00324,0.0297,0.0079,1.4,0.144,0.00436,-0.133,-1.67
8.9,-0.0094,-0.00268,0.0679,0.0125,0.798,0.192,-0.00162,-0.176,0.405
8.93,-0.00712,-0.0024,0.0766,0.0171,0.0934,-0.0685,-0.00739,-0.107,2.95
8.97,-0.0043,-0.00154,0.0773,0.0128,-0.13,-0.185,-0.00877,0.0288,3.6
9.0,-0.00196,-0.00154,0.0654,-0.00012,-0.39,-0.222,-0.00547,0.138,1.66
9.03,5.8e-05,-0.00155,0.0523,-0.000143,-0.387,0.00151,0.000421,0.145,-0.799
9.07,0.00152,-0.00155,0.0386,1.05e-05,-0.308,-0.283,0.00419,0.0754,-1.84
9.1,0.00263,-0.00155,0.0316,-0.0166,-0.0933,-0.151,0.00545,0.0188,-1.18
9.13,0.00363,-0.00266,0.0323,-0.0171,0.331,0.14,0.00545,-0.00301,-0.353
9.17,0.00478,-0.00269,0.0521,-0.000328,0.863,0.306,0.00525,-0.00329,-0.0798
9.2,0.0071,-0.00268,0.0914,0.00106,0.599,0.143,0.00523,-0.00629,-0.223
9.23,0.0109,-0.00262,0.0979,0.00841,-0.868,0.0547,0.00483,-0.0191,-0.591
9.27,0.0136,-0.00212,0.0332,0.00755,-2.29,-0.152,0.00395,-0.0443,-0.957
